,post_code,borough,neighborhood,Latitude,Longitude,Cluster Labels
2,M5A,Downtown Toronto,Regent Park / Harbourfront,43.6542599,-79.3606359,1
8,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,1
14,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,1
18,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,3
19,M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,1
23,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,1
24,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,2
29,M5H,Downtown Toronto,Richmond / Adelaide / King,43.65057120000001,-79.3845675,1
30,M6H,West Toronto,Dufferin / Dovercourt Village,43.66900510000001,-79.4422593,2
34,M4J,East YorkEast Toronto,The Danforth East,43.685347,-79.3381065,3
35,M5J,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands,43.6408157,-79.38175229999997,1
36,M6J,West Toronto,Little Portugal / Trinity,43.647926700000006,-79.4197497,2
40,M4K,East Toronto,The Danforth West / Riverdale,43.6795571,-79.352188,3
41,M5K,Downtown Toronto,Toronto Dominion Centre / Design Exchange,43.6471768,-79.38157640000001,1
42,M6K,West Toronto,Brockton / Parkdale Village / Exhibition Place,43.6368472,-79.42819140000002,2
46,M4L,East Toronto,India Bazaar / The Beaches West,43.6689985,-79.31557159999998,3
47,M5L,Downtown Toronto,Commerce Court / Victoria Hotel,43.6481985,-79.37981690000002,1
53,M4M,East Toronto,Studio District,43.6595255,-79.340923,3
60,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,0
61,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,0
66,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,0
67,M5P,Central Toronto,Forest Hill North & West,43.6969476,-79.41130720000002,0
68,M6P,West Toronto,High Park / The Junction South,43.6616083,-79.46476329999999,2
72,M4R,Central Toronto,North Toronto West,43.7153834,-79.40567840000001,0
73,M5R,Central Toronto,The Annex / North Midtown / Yorkville,43.6727097,-79.40567840000001,1
74,M6R,West Toronto,Parkdale / Roncesvalles,43.6489597,-79.456325,2
78,M4S,Central Toronto,Davisville,43.7043244,-79.3887901,0
79,M5S,Downtown Toronto,University of Toronto / Harbord,43.6626956,-79.4000493,1
80,M6S,West Toronto,Runnymede / Swansea,43.6515706,-79.4844499,2
82,M4T,Central Toronto,Moore Park / Summerhill East,43.6895743,-79.38315990000002,0
83,M5T,Downtown Toronto,Kensington Market / Chinatown / Grange Park,43.6532057,-79.4000493,1
85,M4V,Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,43.68641229999999,-79.4000493,0
86,M5V,Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,43.6289467,-79.3944199,1
90,M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001,1
91,M5W,Downtown TorontoStn A PO Boxes25 The Esplanade,Enclave of M5E,43.6464352,-79.37484599999998,1
95,M4X,Downtown Toronto,St. James Town / Cabbagetown,43.667967,-79.3676753,1
96,M5X,Downtown Toronto,First Canadian Place / Underground city,43.6484292,-79.3822802,1
98,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000002,1
99,M7Y,East TorontoBusiness reply mail Processing Centre969 Eastern,Enclave of M4L,43.6627439,-79.321558,3
